Name,Suit,Upright,Reversed,Image
Three of Cups,Cups,"Celebration, friendship, creativity, collaborations.","Independence, alone time, hardcore partying, ‘three’s a crowd’.",ET-CUPS-03.jpg
Four of Cups,Cups,"Meditation, contemplation, apathy, reevaluation.","Retreat, withdrawal, checking in for alignment.",ET-CUPS-04.jpg
Five of Cups,Cups,"Regret, failure, disappointment, pessimism.","Personal setbacks, self-forgiveness, moving on.",ET-CUPS-05.jpg
Six of Cups,Cups,"Revisiting the past, childhood memories, innocence, joy.","Living in the past, forgiveness, lacking playfulness.",ET-CUPS-06.jpg
Seven of Cups,Cups,"Opportunities, choices, wishful thinking, illusion.","Alignment, personal values, overwhelmed by choices.",ET-CUPS-07.jpg
Eight of Cups,Cups,"Disappointment, abandonment, withdrawal, escapism.","Trying one more time, indecision, aimless drifting, walking away.",ET-CUPS-08.jpg
Nine of Cups,Cups,"Contentment, satisfaction, gratitude, wish come true.","Inner happiness, materialism, dissatisfaction, indulgence.",ET-CUPS-09.jpg
Ten of Cups,Cups,"Divine love, blissful relationships, harmony, alignment.","Disconnection, misaligned values, struggling relationships.",ET-CUPS-10.jpg
Page of Cups,Cups,"Creative opportunities, intuitive messages, curiosity, possibility.","New ideas, doubting intuition, creative blocks, emotional immaturity.",ET-CUPS-page.jpg
Knight of Cups,Cups,"Creativity, romance, charm, imagination, beauty.","Overactive imagination, unrealistic, jealous, moody.",ET-CUPS-knight.jpg
Queen of Cups,Cups,"Compassionate, caring, emotionally stable, intuitive, in flow.","Inner feelings, self-care, self-love, co-dependency.",ET-CUPS-queen.jpg
King of Cups,Cups,"Emotionally balanced, compassionate, diplomatic.","Self-compassion, inner feelings, moodiness, emotionally manipulative.",ET-CUPS-king.jpg
Ace of Swords,Swords,"Breakthroughs, new ideas, mental clarity, success","Inner clarity, re-thinking an idea, clouded judgement",ET-SWORDS-ace.jpg
Two of Swords,Swords,"Difficult decisions, weighing up options, an impasse, avoidance","Indecision, confusion, information overload, stalemate",ET-SWORDS-02.jpg
Three of Swords,Swords,"Heartbreak, emotional pain, sorrow, grief, hurt","Negative self-talk, releasing pain, optimism, forgiveness",ET-SWORDS-03.jpg
Four of Swords,Swords,"Rest, relaxation, meditation, contemplation, recuperation","Exhaustion, burn-out, deep contemplation, stagnation",ET-SWORDS-04.jpg
Five of Swords,Swords,"Conflict, disagreements, competition, defeat, winning at all costs","Reconciliation, making amends, past resentment",ET-SWORDS-05.jpg
Six of Swords,Swords,"Transition, change, rite of passage, releasing baggage.","Personal transition, resistance to change, unfinished business",ET-SWORDS-06.jpg
Seven of Swords,Swords,"Betrayal, deception, getting away with something, acting strategically","Imposter syndrome, self-deceit, keeping secrets",ET-SWORDS-07.jpg
Eight of Swords,Swords,"Negative thoughts, self-imposed restriction, imprisonment, victim mentality","Self-limiting beliefs, inner critic, releasing negative thoughts, open to new perspectives",ET-SWORDS-08.jpg
Nine of Swords,Swords,"Anxiety, worry, fear, depression, nightmares","Inner turmoil, deep-seated fears, secrets, releasing worry",ET-SWORDS-09.jpg
Ten of Swords,Swords,"Painful endings, deep wounds, betrayal, loss, crisis","Recovery, regeneration, resisting an inevitable end",ET-SWORDS-10.jpg
Page of Swords,Swords,"New ideas, curiosity, thirst for knowledge, new ways of communicating","Self-expression, all talk and no action, haphazard action, haste",ET-SWORDS-page.jpg
Knight of Swords,Swords,"Ambitious, action-oriented, driven to succeed, fast-thinking","Restless, unfocused, impulsive, burn-out",ET-SWORDS-knight.jpg
Queen of Swords,Swords,"Independent, unbiased judgement, clear boundaries, direct communication","Overly-emotional, easily influenced, bitchy, cold-hearted",ET-SWORDS-queen.jpg
King of Swords,Swords,"Mental clarity, intellectual power, authority, truth","Quiet power, inner truth, misuse of power, manipulation",ET-SWORDS-king.jpg
Ace of Pentacles,Pentacles,"A new financial or career opportunity, manifestation, abundance.","Lost opportunity, lack of planning and foresight.",ET-PENTACLES-ace.jpg
Two of Pentacles,Pentacles,"Multiple priorities, time management, prioritisation, adaptability.","Over-committed, disorganisation, reprioritisation.",ET-PENTACLES-02.jpg
Three of Pentacles,Pentacles,"Teamwork, collaboration, learning, implementation.","Disharmony, misalignment, working alone.",ET-PENTACLES-03.jpg
Four of Pentacles,Pentacles,"Saving money, security, conservatism, scarcity, control.","Over-spending, greed, self-protection.",ET-PENTACLES-04.jpg
Five of Pentacles,Pentacles,"Financial loss, poverty, lack mindset, isolation, worry.","Recovery from financial loss, spiritual poverty.",ET-PENTACLES-05.jpg
Six of Pentacles,Pentacles,"Giving, receiving, sharing wealth, generosity, charity.","Self-care, unpaid debts, one-sided charity.",ET-PENTACLES-06.jpg
Seven of Pentacles,Pentacles,"Long-term view, sustainable results, perseverance, investment.","Lack of long-term vision, limited success or reward.",ET-PENTACLES-07.jpg
Eight of Pentacles,Pentacles,"Apprenticeship, repetitive tasks, mastery, skill development.","Self-development, perfectionism, misdirected activity.",ET-PENTACLES-08.jpg
Nine of Pentacles,Pentacles,"Abundance, luxury, self-sufficiency, financial independence.","Self-worth, over-investment in work, hustling.",ET-PENTACLES-09.jpg
Ten of Pentacles,Pentacles,"Wealth, financial security, family, long-term success, contribution.","The dark side of wealth, financial failure or loss.",ET-PENTACLES-10.jpg
Page of Pentacles,Pentacles,"Manifestation, financial opportunity, skill development.","Lack of progress, procrastination, learn from failure.",ET-PENTACLES-page.jpg
Knight of Pentacles,Pentacles,"Hard work, productivity, routine, conservatism.","Self-discipline, boredom, feeling ‘stuck’, perfectionism.",ET-PENTACLES-knight.jpg
Queen of Pentacles,Pentacles,"Nurturing, practical, providing financially, a working parent.","Financial independence, self-care, work-home conflict.",ET-PENTACLES-queen.jpg
King of Pentacles,Pentacles,"Wealth, business, leadership, security, discipline, abundance.","Financially inept, obsessed with wealth and status, stubborn.",ET-PENTACLES-king.jpg
Ace of Wands,Wands,"Inspiration, new opportunities, growth, potential","An emerging idea, lack of direction, distractions, delays",ET-WANDS-ace.jpg
Two of Wands,Wands,"Future planning, progress, decisions, discovery","Personal goals, inner alignment, fear of unknown, lack of planning",ET-WANDS-02.jpg
Three of Wands,Wands,"Progress, expansion, foresight, overseas opportunities","Playing small, lack of foresight, unexpected delays",ET-WANDS-03.jpg
Four of Wands,Wands,"Celebration, joy, harmony, relaxation, homecoming","Personal celebration, inner harmony, conflict with others, transition.",ET-WANDS-04.jpg
Five of Wands,Wands,"Conflict, disagreements, competition, tension, diversity","Inner conflict, conflict avoidance, tension release",ET-WANDS-05.jpg
Six of Wands,Wands,"Success, public recognition, progress, self-confidence","Private achievement, personal definition of success, fall from grace, egotism",ET-WANDS-06.jpg
Seven of Wands,Wands,"Challenge, competition, protection, perseverance","Exhaustion, giving up, overwhelmed",ET-WANDS-07.jpg
Eight of Wands,Wands,"Movement, fast paced change, action, alignment, air travel","Delays, frustration, resisting change, internal alignment",ET-WANDS-08.jpg
Nine of Wands,Wands,"Resilience, courage, persistence, test of faith, boundaries","Inner resources, struggle, overwhelm, defensive, paranoia",ET-WANDS-09.jpg
Ten of Wands,Wands,"Burden, extra responsibility, hard work, completion","Doing it all, carrying the burden, delegation, release",ET-WANDS-10.jpg
Page of Wands,Wands,"Inspiration, ideas, discovery, limitless potential, free spirit","Newly-formed ideas, redirecting energy, self-limiting beliefs, a spiritual path",ET-WANDS-page.jpg
Knight of Wands,Wands,"Energy, passion, inspired action, adventure, impulsiveness","Passion project, haste, scattered energy, delays, frustration",ET-WANDS-knight.jpg
Queen of Wands,Wands,"Courage, confidence, independence, social butterfly, determination","Self-respect, self-confidence, introverted, re-establish sense of self",ET-WANDS-queen.jpg
King of Wands,Wands,"Natural-born leader, vision, entrepreneur, honour","Impulsiveness, haste, ruthless, high expectations",ET-WANDS-king.jpg
